section,rule_id,pathway_stage,condition,required_facts,missing_data_behavior,provisional_outcome,timing_destination,care_setting,automation_boundary,reviewer_requirement,source_document,source_reference,update_status,implementation_note,safety_priority
Figure 7,F7-17,Malignant cytology entry,Cytology result of invasive adenocarcinoma or otherwise suspicious/definite invasive glandular cancer,Exact cytology subtype; co-existing cervical indication; referral status,Do not default unknown to false or normal; stop and request information or require clinician review.,"Urgent referral to a colposcopist or gynaecologist to confirm diagnosis; once confirmed, refer to gynaecological oncology. Urgency applies irrespective of HPV result.",Urgent,Urgent specialist/oncology assessment,Safety escalation,Mandatory specialist confirmation,NCSP June 2023 v1.1,R9.10,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 7,F7-18,TZ-specific glandular management,No visible lesion after glandular referral,Transformation-zone type; cytology review; MDM outcome,Do not default unknown to false or normal; stop and request information or require clinician review.,Explicitly distinguish Type 1/2 from Type 3 TZ. Type 3 TZ requires cytology review/MDM and diagnostic excision when the glandular abnormality is confirmed; missing TZ type is a safety stop.,,Colposcopy/MDM,Clinician-only,Mandatory specialist confirmation,NCSP June 2023 v1.1,R9.02-R9.08,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Table 1,T1-01,Decision branch,Prior history: Negative/previous ASC-US/LSIL returned to regular screening; indication: Benign gynaecological disease; specimen: No cervical pathology,Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,No further screening,As specified by outcome,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Table 1,T1-02,Decision branch,"Prior history: Negative/previous ASC-US/LSIL returned to regular screening; indication: Benign gynaecological disease; specimen: LSIL (CIN1), excised or not",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,HPV test; follow Figure 3,As specified by outcome,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
Table 1,T1-03,Decision branch,"Prior history: Negative/previous ASC-US/LSIL returned to regular screening; indication: Benign gynaecological disease; specimen: HSIL (CIN2/3) or AIS, completely excised",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure,As specified by outcome,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Table 1,T1-04,Decision branch,"Prior history: Negative/previous ASC-US/LSIL returned to regular screening; indication: Benign gynaecological disease; specimen: HSIL (CIN2/3) or AIS, incompletely excised",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Colposcopy,As specified by outcome,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Table 1,T1-05,Decision branch,Prior history: Previous ASC-US/LSIL not returned to regular screening; indication: Benign gynaecological disease; specimen: No cervical pathology,Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,HPV test; follow Figure 3,As specified by outcome,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
Table 1,T1-06,Decision branch,"Prior history: Previous ASC-US/LSIL not returned to regular screening; indication: Benign gynaecological disease; specimen: LSIL (CIN1), excised or not",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,HPV test; follow Figure 3,As specified by outcome,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
Table 1,T1-07,Decision branch,"Prior history: Previous ASC-US/LSIL not returned to regular screening; indication: Benign gynaecological disease; specimen: HSIL (CIN2/3) or AIS, completely excised",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure,As specified by outcome,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Table 1,T1-08,Decision branch,"Prior history: Previous ASC-US/LSIL not returned to regular screening; indication: Benign gynaecological disease; specimen: HSIL (CIN2/3) or AIS, incompletely excised",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Colposcopy,As specified by outcome,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Table 1,T1-09,Decision branch,Prior history: Treated HSIL (CIN2/3) with completed Test of Cure; indication: Benign gynaecological disease; specimen: No cervical pathology,Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,No further screening,As specified by outcome,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Table 1,T1-10,Decision branch,"Prior history: Treated HSIL (CIN2/3) with completed Test of Cure; indication: Benign gynaecological disease; specimen: LSIL (CIN1), excised or not",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,HPV test; follow Figure 3,As specified by outcome,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
Table 1,T1-11,Decision branch,"Prior history: Treated HSIL (CIN2/3) with completed Test of Cure; indication: Benign gynaecological disease; specimen: HSIL (CIN2/3) or AIS, completely excised",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure,As specified by outcome,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Table 1,T1-12,Decision branch,"Prior history: Treated HSIL (CIN2/3) with completed Test of Cure; indication: Benign gynaecological disease; specimen: HSIL (CIN2/3) or AIS, incompletely excised",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Colposcopy,As specified by outcome,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Table 1,T1-13,Overlay / modifier,"Prior history: Abnormal screening with diagnosed HSIL/AIS before hysterectomy, untreated or incompletely treated; indication: HSIL/AIS +/- associated benign gynaecological disease; specimen: No cervical pathology or low grade",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure,As specified by outcome,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Table 1,T1-14,Decision branch,"Prior history: Same as T1-13; indication: HSIL/AIS +/- associated benign gynaecological disease; specimen: HSIL (CIN2/3) or AIS, completely excised",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure,As specified by outcome,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Table 1,T1-15,Decision branch,"Prior history: Same as T1-13; indication: HSIL/AIS +/- associated benign gynaecological disease; specimen: HSIL (CIN2/3) or AIS, incompletely excised",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Colposcopy,As specified by outcome,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Table 1,T1-16,Decision branch,Prior history: Previous treatment for HSIL/AIS; incomplete Test of Cure; indication: Benign gynaecological disease; specimen: No cervical pathology or low grade,Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure,As specified by outcome,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Table 1,T1-17,Decision branch,"Prior history: Previous treatment for HSIL/AIS; incomplete Test of Cure; indication: Benign gynaecological disease; specimen: HSIL (CIN2/3) or AIS, completely excised",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure,As specified by outcome,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Table 1,T1-18,Decision branch,"Prior history: Previous treatment for HSIL/AIS; incomplete Test of Cure; indication: Benign gynaecological disease; specimen: HSIL (CIN2/3) or AIS, incompletely excised",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Colposcopy,As specified by outcome,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Table 1,T1-19,Decision branch,Prior history: No known screening history; indication: Benign gynaecological disease; specimen: No cervical pathology or low grade,Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,HPV test at 6 months post-hysterectomy,As specified by outcome,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
Table 1,T1-20,Decision branch,"Prior history: No known screening history; indication: Benign gynaecological disease; specimen: HSIL (CIN2/3) or AIS, completely excised",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure,As specified by outcome,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Table 1,T1-21,Decision branch,"Prior history: No known screening history; indication: Benign gynaecological disease; specimen: HSIL (CIN2/3) or AIS, incompletely excised",Prior screening history; hysterectomy indication; specimen pathology; excision completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Colposcopy,As specified by outcome,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Table 1 p66,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 8,F8-01,Overlay / modifier,Total hysterectomy; known negative/regular history or completed ToC; no cervical pathology,Total vs subtotal; indication; history; specimen pathology,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,No further screening required,,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 8 p67; R10.01-R10.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 8,F8-02,Decision branch,Same history group; unexpected LSIL/CIN1 in specimen,Specimen pathology,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Vaginal-vault HPV test; use Figure 3 result branches as applicable while preserving cervix-absent and vault-sample provenance.,6 months post-hysterectomy where specified,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 8; R10.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
Figure 8,F8-03,Decision branch,Same history group; HSIL/AIS completely excised,Specimen pathology; completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure,Vault co-testing,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 8/Table 1,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 8,F8-04,Decision branch,Same history group; HSIL/AIS incompletely excised,Specimen pathology; completeness,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Colposcopy,,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 8/Table 1,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 8,F8-05,Decision branch,Previous low-grade history not returned to regular screening; no pathology or LSIL,Prior history; specimen pathology,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Vaginal-vault HPV test; use Figure 3 result branches as applicable while preserving cervix-absent and vault-sample provenance.,,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 8/Table 1,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
Figure 8,F8-06,Overlay / modifier,Untreated/incompletely treated HSIL/AIS before hysterectomy; no or low-grade pathology,Prior disease/treatment; specimen pathology,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure,Vault co-tests,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 8/Table 1,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 8,F8-07,Decision branch,Previous treatment for HSIL/AIS with incomplete ToC; no or low-grade pathology,Prior treatment; ToC status; pathology,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure,Vault co-tests,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 8/Table 1,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 8,F8-08,Decision branch,No known screening history; benign indication; no pathology or low-grade pathology,History availability; indication; pathology,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Vaginal-vault HPV test at 6 months. If HPV not detected, screening may cease; if HPV is detected, use the reviewer-confirmed post-hysterectomy/vault pathway and refer to colposcopy where required.",6 months post-hysterectomy in Table 1,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 8; R10.06; Table 1,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 8,F8-09,Overlay / modifier,Subtotal hysterectomy (cervix remains),Hysterectomy type,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Continue ordinary cervical screening pathway,,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum cancer section; general guideline,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 8,F8-10,Decision branch,Previous cervical/vaginal cancer,Cancer type/stage; treatment; hysterectomy type,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Use 2026 cancer overlay; most are outside NCSP recommendations except specified stage 1a1 routes,,Reviewer-confirmed pathway,Specialist-led,Mandatory clinician/specialist confirmation,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum p6,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 8,F8-11,Vault Test of Cure,Total hysterectomy and vault ToC reaches two consecutive HPV-not-detected + negative-cytology co-tests 12 months apart,Vault site; dates; sequence count,Do not default unknown to false or normal; stop and request information or clinician review.,Complete vault Test of Cure and cease screening.,After second qualifying co-test,NCSP/vault follow-up,Deterministic provisional,Reviewer confirmation required,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,R10.04-R10.05; Table 1,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 8,F8-12,Vault escalation,Any HPV detected or abnormal vaginal cytology during vault observation/ToC,Vault HPV/cytology; site provenance,Do not default unknown to false or normal; stop and request information or clinician review.,Refer to colposcopy/specialist review.,At abnormal result,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,R10.04-R10.05,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 8,F8-13,Entry safety,"Hysterectomy type, operative report, prior history, pathology or excision completeness is unknown",Cervix status; history; pathology; margins,Do not default unknown to false or normal; stop and request information or clinician review.,Stop and obtain records; do not infer no pathology or complete excision.,Immediate,Review queue,Safety stop,Mandatory reviewer confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 10; Table 1,Software safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 8,F8-14,Symptom override,Bleeding after total hysterectomy,Bleeding details; examination; cancer suspicion,Do not default unknown to false or normal; stop and request information or clinician review.,Use Figure 10 symptom-investigation pathway regardless of reassuring vault surveillance.,Immediate/urgent as applicable,Symptom investigation,Safety router,Mandatory clinician confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 10 + Sec. 15,Source synthesis,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 9,F9-01,Decision branch,"Pregnant participant with ASC-H, HSIL, atypical glandular cells or AIS",Pregnancy; cytology; gestation; symptoms,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to colposcopy by an experienced pregnancy colposcopist,As soon as practicable,Colposcopy service,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 9 p71; R11.03-R11.07,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 9,F9-02,Decision branch,Normal TZ/no visible lesion at colposcopy,TZ/lesion status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,MDM case review,,Reviewer-confirmed pathway,Mandatory MDM,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 9,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 9,F9-03,Decision branch,MDM downgrades to negative,MDM outcome,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Follow primary HPV screening pathway Figure 3,,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 9,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 9,F9-04,Decision branch,MDM downgrades to LSIL/ASC-US,MDM outcome,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Follow the applicable low-grade pathway after reviewer confirmation; do not automatically force every case into Figure 4.,,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 9,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
Figure 9,F9-05,Decision branch,"MDM confirms possible/definite high-grade in situ result, without invasion",MDM outcome,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Colposcopy review in 6 months or 6-12 weeks postpartum,At least 6 weeks postpartum where postpartum review is used,Colposcopy service,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 9; R11.09-R11.10,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 9,F9-06,Decision branch,"Abnormal TZ/visible lesion; impression LSIL, HSIL (CIN2/3) or AIS, no invasion",Colposcopic impression,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Conservative surveillance; review in 6 months or 6-12 weeks postpartum,,Reviewer-confirmed pathway,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 9; R11.09,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 9,F9-07,Decision branch,Invasion suspected on cytology or colposcopy,Invasion suspicion; biopsy indication,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Biopsy; if positive, urgent gynaecological oncology referral; if negative, MDM review",Oncology review within 2 weeks when invasive disease indicated,Gynaecological oncology / MDT,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 9; R11.05/R11.08,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 9,F9-08,Decision branch,HPV 16/18 in pregnancy regardless of cytology,HPV genotype; pregnancy,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Colposcopy as soon as practicable; do not defer to postpartum,,Colposcopy service,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,R11.04,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 9,F9-09,Decision branch,HPV Other + negative/ASC-US/LSIL in pregnancy,HPV/cytology; pregnancy,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Repeat HPV test,12 months,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,R11.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 9,F9-10,Decision branch,High-grade lesion without invasion in pregnancy,Colposcopy/biopsy; invasion excluded,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Defer definitive treatment until after pregnancy,Postpartum management,Reviewer-confirmed pathway,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,R11.09,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 9,F9-11,Postpartum timing,Postpartum reassessment required,Delivery date; planned tests; pregnancy status,Do not default unknown to false or normal; stop and request information or clinician review.,Perform postpartum assessment no earlier than 6 weeks after delivery; figure indicates 6-12 weeks postpartum.,6-12 weeks postpartum,Experienced colposcopy,Clinician-led,Mandatory specialist confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,R11.10; Fig. 9,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 9,F9-12,Entry safety,"Pregnancy, cytology, lesion/TZ, invasion, biopsy or MDM state is unknown",All pregnancy pathway facts,Do not default unknown to false or normal; stop and request information or clinician review.,Return mandatory specialist review; no autonomous routine outcome.,Immediate,Specialist review,Safety stop,Mandatory specialist confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 11; Fig. 9,Software safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 9,F9-13,Pregnancy safety gate,Before pregnancy-pathway timing or postpartum recommendation,Pregnancy status; gestational age; estimated delivery date; delivery date when postpartum; exact cytology; TZ/lesion; invasion status; MDM/biopsy status,Do not default unknown to false or normal; stop and request information or require clinician review.,Missing required pregnancy facts must return mandatory specialist review. Postpartum timing must be calculated from the documented delivery date and must not be earlier than six weeks.,,Experienced colposcopy,Safety stop,Mandatory specialist confirmation,NCSP June 2023 v1.1,Section 11; Figure 9,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 9,F9-14,Pregnancy malignant entry,Pregnant participant with cytology suspicious of or definite for invasive cancer,Pregnancy status; exact cytology; invasion suspicion; referral status,Do not default unknown to false or normal; stop and request information or require clinician review.,Urgent experienced colposcopy and oncology/MDT assessment as appropriate; do not defer to routine postpartum review.,Urgent / within 2 weeks when invasion confirmed or strongly suspected,Urgent specialist/oncology assessment,Safety escalation,Mandatory specialist confirmation,NCSP June 2023 v1.1,R11.07-R11.09; Figure 9,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 10,F10-01,Decision branch,Any age with signs/symptoms suggestive of cervical cancer,Symptoms; examination; recent screening history,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Clinical examination and co-test, plus urgent referral for investigation; do not delay referral for co-test or blood",Urgent,Primary/community care or programme follow-up,Safety override,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,R15.01,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 10,F10-02,Decision branch,Abnormal vaginal bleeding,Bleeding type; menstrual/contraceptive/sexual history; speculum/pelvic exam; co-test,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Perform structured history, speculum and pelvic examination, and co-test as indicated",,Primary/community care or programme follow-up,Clinician assessment required,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 10 p83; Sec. 15,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 10,F10-03,Decision branch,Abnormal cervix + suspicion of cancer,Exam findings; cancer suspicion,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Co-test and colposcopy/urgent specialist investigation,Urgent,Colposcopy service,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 10; R15.01/R15.04,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 10,F10-04,Decision branch,Abnormal cervix without suspicion of cancer,Exam findings,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Treat/investigate according to local Healthcare Pathway or refer to gynaecology,,Specialist gynaecology,Local pathway/clinician-only,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 10,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
